title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Nihon no yoru to kiri,Drama,NagisaÔshima,.,MiyukiKuwano,FumioWatanabe,MasahikoTsugawa,HiroshiAkutagawa,.,6.9,532,1960
High Time,Comedy- Musical,BlakeEdwards,.,BingCrosby,Fabian,TuesdayWeld,NicoleMaurey,.,6.2,522,1960
The Good Soldier Schweik,Comedy- Drama- War,AxelvonAmbesser,.,HeinzRühmann,ErnstStankovski,FranzMuxeneder,UrsulavonBorsody,.,6.8,518,1960
Vyssí princip,Drama- War,JiríKrejcík,.,FrantisekSmolík,JanaBrejchová,IvanMistrík,AlexanderPostler,.,8.3,511,1960
Do widzenia do jutra...,Drama- Romance,JanuszMorgenstern,.,ZbigniewCybulski,TeresaTuszynska,GrazynaMuszynska,BarbaraBaranowska,.,7.1,503,1960
The Battle of Austerlitz,Drama- History- War,AbelGance,.,PierreMondy,MartineCarol,ClaudiaCardinale,LeslieCaron,.,6.3,503,1960
Escape by Night,Drama- War,RobertoRossellini,.,LeoGenn,GiovannaRalli,SergeyBondarchuk,HannesMessemer,.,7.3,503,1960
Signori si nasce,Comedy,MarioMattoli,.,Totò,PeppinoDeFilippo,DeliaScala,RiccardoGarrone,.,7.2,496,1960
To koroidaki tis despoinidos,Comedy- Romance,GiannisDalianidis,.,JennyKarezi,DinosIliopoulos,DionysisPapagiannopoulos,StavrosXenidis,.,7,490,1960
Holubice,Drama,FrantisekVlácil,.,KaterinaIrmanovová,KarelSmyczek,VjaceslavIrmanov,GustavPüttjer,.,7.4,482,1960
Private Property,Crime- Drama,LeslieStevens,.,KateManx,CoreyAllen,WarrenOates,JeromeCowan,.,6.8,477,1960
Seryozha,Drama,GeorgiyDaneliya,IgorTalankin,BorisBarkhatov,SergeyBondarchuk,IrinaSkobtseva,NatalyaChechyotkina,.,7.8,474,1960
Brainwashed,Drama- War,GerdOswald,.,CurdJürgens,ClaireBloom,HansjörgFelmy,MarioAdorf,.,6.9,473,1960
Stop Me Before I Kill!,Drama- Horror- Mystery,ValGuest,.,ClaudeDauphin,DianeCilento,RonaldLewis,FrançoiseRosay,.,6,462,1960
Intimidation,Action- Crime,KoreyoshiKurahara,.,KôNishimura,NobuoKaneko,MariShiraki,JunHamamura,.,7.2,453,1960
A Touch of Larceny,Comedy,GuyHamilton,.,JamesMason,GeorgeSanders,VeraMiles,OliverJohnston,.,6.8,450,1960
The Haunted Castle,Comedy- Fantasy- Musical,KurtHoffmann,.,LiselottePulver,HeinzBaumann,HanneWieder,ElsaWagner,.,6.2,448,1960
Conspiracy of Hearts,Drama- War,RalphThomas,.,LilliPalmer,SylviaSyms,YvonneMitchell,RonaldLewis,.,7,431,1960
Karakkaze yarô,Action- Crime,YasuzôMasumura,.,YukioMishima,AyakoWakao,EijiFunakoshi,TakashiShimura,.,6.5,429,1960
Pekka ja Pätkä neekereinä,Comedy,AarneTarkas,.,EsaPakarinen,MasaNiemi,SiiriAngerkoski,ArmasJokio,.,5.4,423,1960
Les vieux de la vieille,Comedy,GillesGrangier,.,PierreFresnay,JeanGabin,Noël-Noël,BrunoBalp,.,6.8,422,1960
All the Young Men,Action- Drama- War,HallBartlett,.,AlanLadd,SidneyPoitier,JamesDarren,GlennCorbett,.,6.2,420,1960
Oscar Wilde,Biography- Drama,GregoryRatoff,.,RobertMorley,PhyllisCalvert,RalphRichardson,JohnNeville,.,6.9,414,1960
5 Branded Women,Drama- War,MartinRitt,.,VanHeflin,SilvanaMangano,JeanneMoreau,VeraMiles,.,6.7,410,1960
Once More with Feeling!,Comedy- Drama- Romance,StanleyDonen,.,YulBrynner,KayKendall,GeoffreyToone,MaxwellShaw,.,6.2,407,1960
Under Ten Flags,Drama- War,DuilioColetti,.,VanHeflin,CharlesLaughton,MylèneDemongeot,JohnEricson,.,6.6,402,1960
Pay or Die!,Biography- Crime- Drama,RichardWilson,.,ErnestBorgnine,ZohraLampert,AlanAustin,RenataVanni,.,6.9,397,1960
The Terrible People,Crime- Horror- Drama,HaraldReinl,.,JoachimFuchsberger,KarinDor,FritzRasp,DieterEppler,.,6.3,389,1960
One Foot in Hell,Western,JamesB.Clark,.,AlanLadd,DonMurray,DanO'Herlihy,DoloresMichaels,.,6.2,388,1960
Let No Man Write My Epitaph,Drama,PhilipLeacock,.,BurlIves,ShelleyWinters,JamesDarren,JeanSeberg,.,7,386,1960
Sex Kittens Go to College,Comedy,AlbertZugsmith,.,MamieVanDoren,TuesdayWeld,MijanouBardot,MickeyShaughnessy,.,3.8,384,1960
Vengeance of Hercules,Action- Adventure- Fantasy,VittorioCottafavi,.,MarkForest,BroderickCrawford,GabyAndré,RenatoTerra,.,5.3,379,1960
Ski Troop Attack,Action- War,RogerCorman,.,MichaelForest,FrankWolff,WallyCampo,RichardSinatra,.,3.3,378,1960
The Vampire and the Ballerina,Horror,RenatoPolselli,.,HélèneRémy,TinaGloriani,WalterBrandi,IsarcoRavaioli,.,5.6,378,1960
Jis Desh Men Ganga Behti Hai,Drama- Musical- Romance,RadhuKarmakar,.,RajKapoor,Padmini,Pran,Chanchal,.,7.4,375,1960
Colossus and the Amazon Queen,Adventure- Fantasy,VittorioSala,.,DorianGray,RodTaylor,GiannaMariaCanale,EdFury,.,3.6,374,1960
The Tell-Tale Heart,Horror,ErnestMorris,.,LaurencePayne,AdrienneCorri,DermotWalsh,SelmaVazDias,.,5.8,371,1960
Bidaya wa nihaya,Drama,SalahAbouseif,.,FaridShawqi,OmarSharif,AminahRizq,AmalZayed,.,7.9,370,1960
The Magic Weaver,Family- Fantasy,AleksandrRou,.,MikhailKuznetsov,ViktorPerevalov,AnatoliyKubatskiy,GeorgiyMillyar,.,7.2,369,1960
Chaudhvin Ka Chand,Musical- Romance,M.Sadiq,.,WaheedaRehman,GuruDutt,Rehman,MinooMumtaz,.,7.2,363,1960
The Red Circle,Thriller- Crime,JürgenRoland,.,RenateEwert,KlausjürgenWussow,Karl-GeorgSaebisch,ThomasAlder,.,6.2,350,1960
The Playgirls and the Vampire,Horror,PieroRegnoli,.,WalterBrandi,LylaRocco,MariaGiovannini,AlfredoRizzo,.,5.1,349,1960
Le baron de l'écluse,Comedy,JeanDelannoy,.,JeanGabin,MichelinePresle,JacquesCastelot,AiméeMortimer,.,6.4,340,1960
Otôto,Drama,KonIchikawa,.,KeikoKishi,HiroshiKawaguchi,KinuyoTanaka,MasayukiMori,.,6.9,338,1960
The Hands of Orlac,Crime- Horror- Sci-Fi,EdmondT.Gréville,.,MelFerrer,DanyCarrel,ChristopherLee,LucileSaint-Simon,.,5.8,337,1960
Deveti krug,Drama- War,FranceStiglic,.,DusicaZegarac,BorisDvornik,BrankoTatic,ErvinaDragman,.,7.9,334,1960
Romeo Julie a tma,Drama- Romance- War,JiríWeiss,.,IvanMistrík,DanielaSmutná,JirinaSejbalová,FrantisekSmolík,.,7.5,330,1960
I Hionati kai ta 7 gerontopallikara,Comedy- Romance,IakovosKabanellis,.,JennyKarezi,AndreasBarkoulis,VasilisAvlonitis,ChristosEfthimiou,.,6.1,328,1960
Wake Me When It's Over,Comedy,MervynLeRoy,.,ErnieKovacs,DickShawn,MargoMoore,JackWarden,.,6.5,324,1960
Saiyûki,Animation- Adventure- Family,DaisakuShirakawa,TaijiYabushita,KiyoshiKomiyama,NorikoShindô,HideoKinoshita,SetsuoShinoda,.,5.9,324,1960
Darbuján a Pandrhola,Comedy- Fantasy,MartinFric,.,JiríSovák,RudolfHrusínský,VáclavLohniský,JosefHlinomaz,.,7.4,321,1960
A Dog of Flanders,Drama- Family,JamesB.Clark,.,DavidLadd,DonaldCrisp,TheodoreBikel,MaxCroiset,.,7,320,1960
Alla vi barn i Bullerbyn,Family,OlleHellbom,.,KajAndersson,ToveHellbom,JanErikHusbom,TomasJohansson,.,5.9,318,1960
Morgan the Pirate,Adventure,AndréDeToth,PrimoZeglio,SteveReeves,ValérieLagrange,IvoGarrani,LidiaAlfonsi,.,5.8,316,1960
Im weissen Rössl,Comedy- Musical- Romance,WernerJacobs,.,PeterAlexander,WaltrautHaas,KarinDor,AdrianHoven,.,5.9,315,1960
To Klotsoskoufi,Romance- Comedy,DinosDimopoulos,.,AlikiVougiouklaki,AlekosAlexandrakis,StefanosLinaios,MarikaKrevata,.,5.4,307,1960
Kanoon,Drama- Crime- Mystery,B.R.Chopra,.,RajendraKumar,AshokKumar,Nanda,NanaPalsikar,.,7.8,306,1960
Totò Fabrizi e i giovani d'oggi,Comedy- Romance,MarioMattoli,.,Totò,AldoFabrizi,ChristineKaufmann,GeronimoMeynier,.,6.9,302,1960
The Boy and the Pirates,Family- Adventure- Fantasy,BertI.Gordon,.,CharlesHerbert,SusanGordon,MurvynVye,PaulGuilfoyle,.,5.1,298,1960
Doctor in Love,Comedy,RalphThomas,.,MichaelCraig,VirginiaMaskell,LesliePhillips,JamesRobertsonJustice,.,5.7,296,1960
The Human Vapor,Crime- Sci-Fi- Thriller,IshirôHonda,.,TatsuyaMihashi,KaoruYachigusa,YoshioTsuchiya,KeikoSata,.,6.3,295,1960
The Last Pedestrian,Comedy- Musical,WilhelmThiele,.,HeinzErhardt,ChristineKaufmann,KätheHaack,ErnstWaldow,.,5.9,289,1960
Thunder in Carolina,Action- Drama- Sport,PaulHelmick,.,RoryCalhoun,AlanHaleJr.,ConnieHines,RaceGentry,.,2.6,284,1960
The House in Marsh Road,Horror- Thriller,MontgomeryTully,.,TonyWright,PatriciaDainton,SandraDorne,DerekAylward,.,6,279,1960
Key Witness,Crime- Drama- Mystery,PhilKarlson,.,JeffreyHunter,PatCrowley,DennisHopper,JobyBaker,.,6.2,276,1960
Watch Your Stern,Comedy,GeraldThomas,.,KennethConnor,EricBarker,LesliePhillips,JoanSims,.,5.8,273,1960
The Avenger,Crime- Horror- Mystery,KarlAnton,.,HeinzDrache,IngridvanBergen,BennoSterzenbach,InaDuscha,.,5.8,273,1960
The Ship of Monsters,Comedy- Sci-Fi- Horror,RogelioA.González,.,EulalioGonzález,AnaBerthaLepe,LorenaVelázquez,ConsueloFrank,.,6.4,273,1960
Because They're Young,Drama,PaulWendkos,.,DickClark,VictoriaShaw,MichaelCallan,TuesdayWeld,.,6.1,272,1960
Rokudenashi,Action- Crime,YoshishigeYoshida,.,MasahikoTsugawa,HizuruTakachiho,YûsukeKawazu,JunichiroYamashita,.,7,271,1960
Man in the Moon,Comedy- Romance,BasilDearden,.,KennethMore,ShirleyAnneField,NormanBird,MichaelHordern,.,6.1,270,1960
Guns of the Timberland,Adventure- Western,RobertD.Webb,.,AlanLadd,JeanneCrain,GilbertRoland,FrankieAvalon,.,5.7,267,1960
Ice Palace,Adventure- Drama- History,VincentSherman,.,RichardBurton,RobertRyan,MarthaHyer,JimBackus,.,6.4,266,1960
Sujata,Drama- Romance,BimalRoy,.,Nutan,SunilDutt,Shashikala,LalitaPawar,.,7.3,265,1960
Playgirl After Dark,Crime- Drama- Romance,TerenceYoung,.,JayneMansfield,LeoGenn,KarlheinzBöhm,DanikPatisson,.,6.2,264,1960
It Happened in '43,Drama- Romance- War,FlorestanoVancini,.,BelindaLee,GabrieleFerzetti,EnricoMariaSalerno,AndreaChecchi,.,7.3,260,1960
The Minotaur the Wild Beast of Crete,Adventure- Fantasy,SilvioAmadio,.,BobMathias,RosannaSchiaffino,AlbertoLupo,RikBattaglia,.,4.9,249,1960
Letto a tre piazze,Comedy,Steno,.,Totò,PeppinoDeFilippo,NadiaGray,CristinaGaioni,.,7.1,247,1960
The Subterraneans,Drama,RanaldMacDougall,.,LeslieCaron,GeorgePeppard,JaniceRule,RoddyMcDowall,.,5.1,246,1960
Crésus,Comedy,JeanGiono,.,Fernandel,MarcelleRanson-Hervé,Rellys,RenéGénin,.,6.4,246,1960
The Giants of Thessaly,Adventure- Fantasy,RiccardoFreda,.,RolandCarey,ZivaRodann,AlbertoFarnese,NadiaSanders,.,5.2,244,1960
Bayn el samaa wa el ard,Comedy- Drama- Thriller,SalahAbouseif,.,HindRustum,OmarAfifi,MokhtarAlSayed,KamelAnwar,.,7.1,243,1960
...And Suddenly It's Murder!,Comedy- Crime,MarioCamerini,.,AlbertoSordi,VittorioGassman,NinoManfredi,DorianGray,.,7.1,243,1960
The Night Fighters,War- Drama- Action,TayGarnett,.,RobertMitchum,RichardHarris,AnneHeywood,DanO'Herlihy,.,6,241,1960
Studs Lonigan,Drama,IrvingLerner,.,ChristopherKnight,FrankGorshin,VenetiaStevenson,CarolynCraig,.,5.1,239,1960
Man on a String,Action- Crime- Drama,AndréDeToth,.,ErnestBorgnine,KerwinMathews,ColleenDewhurst,AlexanderScourby,.,6.1,238,1960
High School Caesar,Drama,O'DaleIreland,.,JohnAshley,GaryVinson,SteveStevens,LowellBrown,.,5.2,236,1960
Fuefukigawa,Drama- History- War,KeisukeKinoshita,.,HidekoTakamine,TakahiroTamura,KôshirôMatsumoto,ShimaIwashita,.,7,235,1960
Chi si ferma è perduto,Comedy,SergioCorbucci,.,Totò,PeppinoDeFilippo,AroldoTieri,LuigiDeFilippo,.,6.9,234,1960
Circle of Deception,Drama- Romance- War,JackLee,.,SuzyParker,BradfordDillman,HarryAndrews,RobertStephens,.,6.6,232,1960
Szatan z siódmej klasy,Adventure- Mystery,MariaKaniewska,.,JózefSkwark,StanislawMilski,PolaRaksa,KrystynaKarkowska,.,6.7,232,1960
Musume tsuma haha,Drama,MikioNaruse,.,SetsukoHara,MasayukiMori,HidekoTakamine,ReikoDan,.,7.1,232,1960
Everything Goes Wrong,Action- Crime,SeijunSuzuki,.,TamioKawaji,YoshikoNezu,SayuriYoshinaga,ShinakoNakagawa,.,7,229,1960
Surprise Package,Comedy,StanleyDonen,.,YulBrynner,MitziGaynor,NoëlCoward,EricPohlmann,.,5.7,226,1960
Operation Camel,Comedy,SvenMethling,.,PaulHagen,LouisMiehe-Renard,EbbeLangberg,PrebenKaas,.,5.9,223,1960
The Savage Eye,Drama,BenMaddow,SidneyMeyers,BarbaraBaxley,GaryMerrill,HerschelBernardi,JeanHidey,.,7,223,1960
Yôtô monogatari: hana no Yoshiwara hyakunin-giri,Action- Fantasy,TomuUchida,.,ChiezôKataoka,YaekoMizutani,IsaoKimura,AkikoSanto,.,7.5,220,1960
Fortunat,Comedy- Drama- War,AlexJoffé,.,Bourvil,MichèleMorgan,TeddyBilis,RosyVarte,.,7,218,1960
Ljubav i moda,Comedy- Musical- Romance,LjubomirRadicevic,.,BebaLoncar,DusanBulajic,MiodragPetrovic-Ckalja,MijaAleksic,.,7.1,215,1960
Stop! Look! and Laugh!,Comedy,DonAppell,LouisBrandt,MoeHoward,LarryFine,CurlyHoward,PaulWinchell,.,5.8,214,1960
Kala Bazar,Crime- Drama- Musical,VijayAnand,.,DevAnand,WaheedaRehman,Nanda,VijayAnand,.,7.3,214,1960
Carthage in Flames,Drama- Action- Adventure,CarmineGallone,.,PierreBrasseur,DanielGélin,AnneHeywood,AldoSilvani,.,5.3,208,1960
It Takes a Thief,Crime- Drama- Thriller,JohnGilling,.,JayneMansfield,AnthonyQuayle,CarlMöhner,PeterReynolds,.,6.1,206,1960
The Hand,Crime- Drama- Horror,HenryCass,.,DerekBond,RonaldLeigh-Hunt,ReedDeRouen,RayCooney,.,5,204,1960
Trouble in the Sky,Drama- Thriller,CharlesFrend,.,MichaelCraig,PeterCushing,BernardLee,ElizabethSeal,.,6.5,202,1960
Badaranii,Comedy- History,SicaAlexandrescu,GheorgheNaghi,GrigoreVasiliu-Birlic,CarmenStanescu,NickyAtanasiu,AlexandruGiugaru,.,7.6,197,1960
The Plunderers,Western,JosephPevney,.,JeffChandler,JohnSaxon,DoloresHart,MarshaHunt,.,6.6,196,1960
Légy jó mindhalálig,Drama,LászlóRanódy,.,FerencBessenyei,JózsefBihari,TiborBitskey,JózsefSzendrõ,.,6.9,196,1960
Journey to the Lost City,Adventure,FritzLang,.,DebraPaget,PaulHubschmid,WaltherReyer,ClausHolm,.,6.8,196,1960
Un amore a Roma,Drama- Romance,DinoRisi,.,MylèneDemongeot,ElsaMartinelli,PeterBaldwin,ClaudioGora,.,6.7,193,1960
Rat,Comedy- Drama,VeljkoBulajic,.,AntunVrdoljak,ZlatkoMadunic,LjubisaJovanovic,ItaRina,.,6.1,192,1960
Faces in the Dark,Drama- Mystery- Thriller,DavidEady,.,JohnGregson,MaiZetterling,JohnIreland,MichaelDenison,.,6.5,190,1960
Scent of Mystery,Mystery,JackCardiff,.,DenholmElliott,PeterLorre,BeverlyBentley,PaulLukas,.,5.7,188,1960
Ma Barker's Killer Brood,Crime- Drama- Thriller,BillKarn,.,LureneTuttle,TristramCoffin,PaulDubov,NelsonLeigh,.,5.5,188,1960
Sweet Deceptions,Drama- Romance,AlbertoLattuada,.,ChristianMarquand,CatherineSpaak,JeanSorel,Milly,.,6.9,186,1960
Battle of Blood Island,Drama- War,JoelRapp,.,RichardDevon,RonGans,RogerCorman,.,.,4.8,181,1960
Donald Duck and his Companions,Family- Animation- Comedy,JackCutting,JackKing,.,.,.,.,.,6.9,179,1960
Skywatch,Comedy- Drama,LewisGilbert,.,IanCarmichael,TommySteele,BennyHill,SydneyTafler,.,6.4,178,1960
Hitar Petar,Comedy,StefanSurchadzhiev,.,RachkoYabandzhiev,LeoConforti,KonstantinKisimov,DimitarStratev,.,7.3,176,1960
Chhalia,Musical- Romance,ManmohanDesai,.,RajKapoor,Nutan,Pran,Rehman,.,7.6,175,1960
Ten Who Dared,Adventure- Family- Western,WilliamBeaudine,.,BrianKeith,JohnBeal,JamesDrury,R.G.Armstrong,.,5.8,173,1960
Lipstick,Crime- Drama,DamianoDamiani,.,PierreBrice,GiorgiaMoll,PietroGermi,BellaDarvi,.,6.8,172,1960
Life Is a Circus,Comedy,ValGuest,.,BudFlanagan,TeddyKnox,JimmyNervo,JimmyGold,.,4.1,170,1960
Chi wa kawaiteru,Drama,YoshishigeYoshida,.,KeijiSada,KanekoIwasaki,Shin'ichirôMikami,MariYoshimura,.,7,168,1960
College Confidential,Drama,AlbertZugsmith,.,SteveAllen,JayneMeadows,WalterWinchell,MamieVanDoren,.,4.9,166,1960
The Shakedown,Crime- Drama,JohnLemont,.,TerenceMorgan,HazelCourt,DonaldPleasence,BillOwen,.,6.7,166,1960
Mein Schulfreund,Drama- Comedy,RobertSiodmak,.,HeinzRühmann,LonivonFriedl,ErnstSchröder,HerthaFeiler,.,7.1,161,1960
I Aim at the Stars,Biography- Drama,J.LeeThompson,.,CurdJürgens,VictoriaShaw,HerbertLom,GiaScala,.,6.4,161,1960
The Bramble Bush,Drama,DanielPetrie,.,RichardBurton,BarbaraRush,JackCarson,AngieDickinson,.,5.5,159,1960
Cleopatra's Daughter,Adventure- Drama- Romance,FernandoCerchio,.,DebraPaget,EttoreManni,ErnoCrisa,CorradoPani,.,4.8,158,1960
I kyria dimarhos,Comedy,RovirosManthoulis,.,GeorgiaVasileiadou,VasilisAvlonitis,AlekaStratigou,KoulaAgagiotou,.,6.3,157,1960
Eglima sta paraskinia,Crime- Mystery,DinosKatsouridis,.,AlekosAlexandrakis,TitosVandis,MaroKodou,AlikiGeorgouli,.,7,156,1960
Los golfos,Crime- Drama,CarlosSaura,.,ManuelZarzo,LuisMarín,ÓscarCruz,JuanjoLosada,.,6.6,152,1960
Un rayo de luz,Comedy- Musical,LuisLucia,.,Marisol,AnselmoDuarte,MaríaMahor,JulioSanjuán,.,5.2,152,1960
Le dialogue des Carmélites,Drama- History,PhilippeAgostini,RaymondLeopoldBruckberger,JeanneMoreau,AlidaValli,MadeleineRenaud,PascaleAudret,.,6.8,152,1960
La rivolta degli schiavi,Adventure,NunzioMalasomma,.,RhondaFleming,LangJeffries,DaríoMoreno,EttoreManni,.,5.5,151,1960
The Barbarians,Action- Adventure- Drama,RudolphMaté,.,JackPalance,MillyVitale,GuyRolfe,AustinWillis,.,4.8,151,1960
Daibosatsu tôge,Action- Drama,KenjiMisumi,.,RaizôIchikawa,KôjirôHongô,TamaoNakamura,FujikoYamamoto,.,6.7,149,1960
L'eau à la bouche,Comedy- Romance,JacquesDoniol-Valcroze,.,BernadetteLafont,FrançoiseBrion,AlexandraStewart,MichelGalabru,.,6.3,149,1960
Son of Samson,Action- Adventure- Drama,CarloCampogalliani,.,MarkForest,CheloAlonso,ViraSilenti,AngeloZanolli,.,5.3,148,1960
Crack in the Mirror,Crime- Drama,RichardFleischer,.,OrsonWelles,JulietteGréco,BradfordDillman,AlexanderKnox,.,7,148,1960
Robin Hood and the Pirates,Action- Adventure- Drama,GiorgioSimonelli,.,LexBarker,JocelynLane,RossanaRory,MarioScaccia,.,3.4,147,1960
Kapetan Lesi,Drama- War,Zivorad'Zika'Mitrovic,.,AleksandarGavric,PetarPrlicko,DimitarKostarov,RainerPenkert,.,6.8,146,1960
Anuradha,Drama,HrishikeshMukherjee,.,BalrajSahni,LeelaNaidu,AbhiBhattacharya,NasirHussain,.,6.6,146,1960
Sømand i knibe,Family,LauLauritzen,.,GhitaNørby,JudyGringer,JeanneDarville,LauLauritzen,.,5.7,146,1960
Hideout in the Sun,Crime- Drama,LarryWolk,DorisWishman,GregConrad,DoloresCarlos,EarlBauer,CarolLittle,.,4.8,146,1960
Aki tachinu,Drama,MikioNaruse,.,NobukoOtowa,JunFujimaki,KamatariFujiwara,YôsukeNatsuki,.,7.1,145,1960
Alyoshkina lyubov,Comedy- Drama- Romance,GeorgiShchukin,SemyonTumanov,LeonidBykov,AleksandraZavyalova,AlekseyGribov,YuriBelov,.,7.3,143,1960
Agent Shiranui,Drama,KazuoMori,.,ShintarôKatsu,TamaoNakamura,MiekoKondô,MatasaburôNiwa,.,7,142,1960
Ching nu yu hun,Drama- Horror- Romance,HanHsiangLi,.,BettyLohTi,LeiZhao,RhoqingTang,Chih-ChingYang,.,6.6,142,1960
Fünf Patronenhülsen,War,FrankBeyer,.,ErnstBusch,ErwinGeschonneck,ManfredKrug,EdwinMarian,.,6.7,142,1960
Piccadilly Third Stop,Crime- Drama,WolfRilla,.,TerenceMorgan,YôkoTani,JohnCrawford,MaiZetterling,.,6.3,141,1960
Bluebeards Ten Honeymoons,Crime- Mystery- Thriller,W.LeeWilder,.,GeorgeSanders,CorinneCalvet,JeanKent,PatriciaRoc,.,6.3,141,1960
Nacht fiel über Gotenhafen,Drama- War,FrankWisbar,.,SonjaZiemann,GunnarMöller,ErikSchumann,BrigitteHorney,.,7.2,140,1960
The Army Game,Comedy,ClaudedeGivray,FrançoisTruffaut,ChristiandeTillière,RicetBarrier,JacquesBalutin,PierreMaguelon,.,5.2,139,1960
Inn for Trouble,Comedy,C.M.Pennington-Richards,.,ShaunO'Riordan,PeggyMount,RonanO'Casey,DavidKossoff,.,6,139,1960
Love and the Frenchwoman,Comedy,MichelBoisrond,Christian-Jaque,JacquelinePorel,Pierre-JeanVaillard,DarryCowl,MichelineDax,.,6.4,139,1960
Densô ningen,Horror- Sci-Fi,JunFukuda,.,KôjiTsuruta,YumiShirakawa,SeizaburôKawazu,YoshioTsuchiya,.,6.3,138,1960
Telegrame,Comedy,AurelMiheles,GheorgheNaghi,GrigoreVasiliu-Birlic,CostacheAntoniu,JulesCazaban,AlexandruGiugaru,.,7.7,138,1960
Terrain vague,Drama,MarcelCarné,.,DanièleGaubert,RolandLesaffre,MauriceCaffarelli,ConstantinAndrieu,.,6.9,137,1960
Tomorrow Is My Turn,Drama,AndréCayatte,.,CharlesAznavour,NicoleCourcel,GeorgesRivière,CordulaTrantow,.,6.5,137,1960
Noose for a Gunman,Western,EdwardL.Cahn,.,JimDavis,LynThomas,TeddeCorsia,BartonMacLane,.,5.4,136,1960
From a Roman Balcony,Drama,MauroBolognini,.,JeanSorel,LeaMassari,JeanneValérie,RikBattaglia,.,6.8,135,1960
El fanous el sehri,Comedy,FatinAbdulwahhab,.,AbdulsalamEl-Nabulsi,Kariman,NeematMoukhatar,IsmailYassin,.,6.6,134,1960
La sombra del Caudillo,Drama- History- Romance,JulioBracho,.,TitoJunco,RobertoCañedo,TitoNovaro,TomásPerrín,.,7.6,134,1960
Liu san jie,Musical,SuLi,.,Wan-qiuHuang,Zong-xueXia,Ju-keZhang,Wen-junZhang,.,7,134,1960
Silver Spoon Set,Drama,FrancescoMaselli,.,ClaudiaCardinale,GérardBlain,AnnaMariaFerrero,SergioFantoni,.,7,134,1960
And the Same to You,Comedy,GeorgePollock,.,BrianRix,WilliamHartnell,TommyCooper,VeraDay,.,5.3,133,1960
Ye mei gui zhi lian,Musical,Tian-LinWang,.,GraceChang,YangChang,Po-ChienChin,ChiHsieh,.,7.1,130,1960
Dentist in the Chair,Comedy,DonChaffey,.,BobMonkhouse,PeggyCummins,KennethConnor,EricBarker,.,5.1,130,1960
Nikt nie wola,Drama- Romance- War,KazimierzKutz,.,ZofiaMarcinkowska,HenrykBoukolowski,BarbaraKrafftówna,HalinaMikolajska,.,6.8,129,1960
Krotkaya,Drama,AleksandrBorisov,.,IyaSavvina,AndreiPopov,VeraKuznetsova,PanteleymonKrymov,.,6.7,129,1960
Bottoms Up,Comedy,MarioZampi,.,JimmyEdwards,ArthurHoward,MartitaHunt,SydneyTafler,.,6.2,128,1960
September Storm,Drama,ByronHaskin,PaulStader,JoanneDru,MarkStevens,RobertStrauss,AsherDann,.,5.1,126,1960
Kohinoor,Action- Adventure- Comedy,S.U.Sunny,.,DilipKumar,MeenaKumari,Azim,Beena,.,6.5,126,1960
Too Soon to Love,Drama- Romance,RichardRush,.,JenniferWest,RichardEvans,WarrenParker,RalphManza,.,5.1,125,1960
It Happened at Møllegården,Family,AliceO'Fredericks,RobertSaaskin,PoulReichhardt,ChristianArhoff,IbMossin,AstridVillaume,.,5.8,125,1960
Oklahoma Territory,Western,EdwardL.Cahn,.,BillWilliams,GloriaTalbott,TeddeCorsia,GrantRichards,.,5.9,125,1960
Bombai Ka Babu,Drama- Musical- Romance,RajKhosla,.,DevAnand,SuchitraSen,Jeevan,NasirHussain,.,7,125,1960
The Wizard of Baghdad,Comedy,GeorgeSherman,.,DickShawn,DianeBaker,BarryCoe,JohnVanDreelen,.,5,124,1960
I Passed for White,Drama,FredM.Wilcox,.,SonyaWilde,JamesFranciscus,PatriciaMichon,ElizabethCouncil,.,6,122,1960
Normandie - Niémen,Drama- War,JeanDréville,DamirVyatich-Berezhnykh,PierreTrabaud,RolandMénard,GianiEsposito,GérardDarrieu,.,6.5,121,1960
Stowaway in the Sky,Adventure- Family,AlbertLamorisse,.,AndréGille,MauriceBaquet,PascalLamorisse,CharlesBayard,.,6.3,121,1960
Hawai Middowei daikaikûsen: Taiheiyô no arashi,Drama- History- War,ShûeMatsubayashi,HugoGrimaldi,YôsukeNatsuki,ToshirôMifune,KôjiTsuruta,MakotoSatô,.,6.4,121,1960
Forelsket i København,Romance,FinnHenriksen,.,SiwMalmkvist,HenningMoritzen,OveSprogøe,JørgenRyg,.,6.4,121,1960
Cage of Evil,Crime- Drama,EdwardL.Cahn,.,RonFoster,PatriciaBlair,HarpMcGuire,JohnMaxwell,.,5.4,121,1960
Randevou stin Kerkyra,Comedy- Romance,DimisDadiras,.,JennyKarezi,AlekosAlexandrakis,EleniHalkousi,LykourgosKallergis,.,5.7,119,1960
Messalina,Drama,VittorioCottafavi,.,BelindaLee,SpyrosFokas,CarloGiustini,GiancarloSbragia,.,6.1,119,1960
The Waves of the Danube,Drama- War,LiviuCiulei,.,LazarVrabie,LiviuCiulei,IrinaPetrescu,StefanCiubotarasu,.,7.1,119,1960
Zajednicki stan,Comedy,MarijanVajda,.,VukaKostic,DragutinDobricanin,BrankaVeselinovic,VladimirMedar,.,7.4,118,1960
Certains l'aiment... froide,Comedy,JeanBastia,.,LouisdeFunès,PierreDudan,FrancisBlanche,JeanRichard,.,5.4,116,1960
