title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Alice Doesn't Live Here Anymore,Drama- Romance,MartinScorsese,.,EllenBurstyn,KrisKristofferson,MiaBendixsen,AlfredLutterIII,18600000,7.3,19042,1974
A Woman Under the Influence,Drama- Romance,JohnCassavetes,.,GenaRowlands,PeterFalk,FredDraper,LadyRowlands,13336830,8.2,18494,1974
Zardoz,Adventure- Fantasy- Sci-Fi,JohnBoorman,.,SeanConnery,CharlotteRampling,SaraKestelman,JohnAlderton,.,5.9,17923,1974
Ali: Fear Eats the Soul,Drama- Romance,RainerWernerFassbinder,.,BrigitteMira,ElHedibenSalem,BarbaraValentin,IrmHermann,.,8.1,16772,1974
Bring Me the Head of Alfredo Garcia,Action- Crime- Drama,SamPeckinpah,.,WarrenOates,IselaVega,RobertWebber,GigYoung,.,7.5,16683,1974
The Longest Yard,Comedy- Crime- Drama,RobertAldrich,.,BurtReynolds,EddieAlbert,EdLauter,MichaelConrad,.,7.1,15711,1974
The Enigma of Kaspar Hauser,Biography- Drama- History,WernerHerzog,.,BrunoS.,WalterLadengast,BrigitteMira,WillySemmelrogge,.,7.8,15148,1974
Phantom of the Paradise,Comedy- Drama- Fantasy,BrianDePalma,.,PaulWilliams,WilliamFinley,JessicaHarper,GerritGraham,.,7.4,14761,1974
The Sugarland Express,Crime- Drama,StevenSpielberg,.,GoldieHawn,BenJohnson,MichaelSacks,WilliamAtherton,7500000,6.8,14007,1974
The Parallax View,Drama- Thriller,AlanJ.Pakula,.,WarrenBeatty,PaulaPrentiss,WilliamDaniels,WalterMcGinn,.,7.1,13465,1974
Lenny,Biography- Drama,BobFosse,.,DustinHoffman,ValeriePerrine,JanMiner,StanleyBeck,.,7.6,13255,1974
The Phantom of Liberty,Comedy,LuisBuñuel,.,Jean-ClaudeBrialy,AdolfoCeli,MichelPiccoli,MonicaVitti,6172,7.9,12853,1974
Earthquake,Action- Drama- Thriller,MarkRobson,.,CharltonHeston,AvaGardner,GeorgeKennedy,LorneGreene,79700000,5.9,12661,1974
The Front Page,Comedy- Drama- Romance,BillyWilder,.,JackLemmon,WalterMatthau,SusanSarandon,VincentGardenia,17300000,7.3,11218,1974
The Night Porter,Drama,LilianaCavani,.,DirkBogarde,CharlotteRampling,PhilippeLeroy,GabrieleFerzetti,.,6.7,10249,1974
Watch Out We're Mad,Action- Comedy,MarcelloFondato,.,TerenceHill,BudSpencer,PattyShepard,DeogratiasHuerta,.,7.5,9721,1974
The Odessa File,Drama- Thriller,RonaldNeame,.,JonVoight,MaximilianSchell,MariaSchell,MaryTamm,.,7,9144,1974
The Four Musketeers: Milady's Revenge,Adventure- History,RichardLester,.,MichaelYork,RaquelWelch,OliverReed,RichardChamberlain,19096800,7,9136,1974
Airport 1975,Action- Drama- Thriller,JackSmight,.,CharltonHeston,KarenBlack,GeorgeKennedy,EfremZimbalistJr.,47285152,5.7,8797,1974
Alice in the Cities,Drama,WimWenders,.,YellaRottländer,RüdigerVogler,LisaKreuzer,EddaKöchl,.,8,8779,1974
Emmanuelle,Drama,JustJaeckin,.,SylviaKristel,AlainCuny,MarikaGreen,DanielSarky,8720000,5.3,8687,1974
Köyden Indim Sehire,Adventure- Comedy- Drama,ErtemEgilmez,.,KemalSunal,MeralZeren,ZekiAlasya,MetinAkpinar,.,8.4,8304,1974
Foxy Brown,Action- Crime- Thriller,JackHill,.,PamGrier,AntonioFargas,PeterBrown,TerryCarter,.,6.5,8048,1974
Gone in 60 Seconds,Action- Crime- Drama,H.B.Halicki,.,H.B.Halicki,MarionBusia,JerryDaugirda,JamesMcIntyre,40000000,6.5,7760,1974
Going Places,Action- Comedy- Crime,BertrandBlier,.,GérardDepardieu,Miou-Miou,PatrickDewaere,ChristianAlers,.,7.3,7546,1974
Mavi Boncuk,Comedy- Crime- Drama,ErtemEgilmez,.,EmelSayin,TarikAkan,ZekiAlasya,MetinAkpinar,.,7.9,7179,1974
Female Trouble,Comedy- Crime,JohnWaters,.,Divine,DavidLochary,MaryVivianPearce,MinkStole,.,7.3,7107,1974
The Yakuza,Action- Crime- Drama,SydneyPollack,.,RobertMitchum,KenTakakura,BrianKeith,HerbEdelman,.,7.2,6917,1974
Mr. Majestyk,Action- Crime- Drama,RichardFleischer,.,CharlesBronson,LindaCristal,AlLettieri,LeePurcell,.,6.8,6847,1974
